ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
13/10/2025,Iceland,France,2,2,12,6,1.33,9.87,5.49,1.29,4,20,2,9,16,12,0,9,1,1,0,0,1.11,1.97
13/10/2025,Lesotho,Zimbabwe,1,0,3.95,2.9,2.38,3.61,2.77,2.23,13,13,7,8,11,8,6,8,2,3,0,0,,
13/10/2025,Mauritius,Libya,0,0,7,3.5,1.67,6.27,3.25,1.62,1,6,0,1,,,3,4,0,2,0,0,,
13/10/2025,North Macedonia,Kazakhstan,1,1,1.38,5,12,1.34,4.57,10.12,20,15,6,4,11,17,7,2,1,5,0,0,1.84,1.37
13/10/2025,Northern Ireland,Germany,0,1,9.5,5.4,1.4,8.38,4.9,1.36,12,11,3,2,18,14,4,5,4,2,0,0,0.6,1.12
13/10/2025,Sao Tome and Principe,Malawi,1,0,23,7.5,1.16,17.38,6.66,1.14,3,7,2,3,,,0,8,1,1,0,0,,
13/10/2025,Slovakia,Luxembourg,2,0,1.42,4.9,9.5,1.38,4.57,8.34,13,7,3,2,19,16,5,4,1,4,0,0,0.97,0.77
13/10/2025,Slovenia,Switzerland,0,0,5.3,3.5,1.83,4.84,3.41,1.78,4,11,0,3,10,5,3,4,1,0,0,0,0.41,0.63
13/10/2025,South Sudan,Togo,0,0,6,3.4,1.8,5.08,3.19,1.73,9,11,3,8,,,2,4,2,0,0,0,,
13/10/2025,Sweden,Kosovo,0,1,1.35,6,9.5,1.31,5.52,8.41,13,7,4,3,16,10,12,0,0,2,0,0,1.14,1.15
13/10/2025,Tunisia,Namibia,3,0,1.4,4.33,11,1.37,4.12,8.9,10,12,4,5,,,5,6,1,4,0,0,,
13/10/2025,Ukraine,Azerbaijan,2,1,1.21,7,19,1.18,6.51,15.91,22,8,7,2,12,7,7,1,3,1,0,0,2.73,1.1
13/10/2025,Wales,Belgium,2,4,5,4,1.73,4.89,3.77,1.69,9,16,3,6,10,6,6,5,2,1,0,0,0.86,3.09
12/10/2025,Burkina Faso,Ethiopia,3,1,1.18,8,21,1.15,6.51,16.71,20,4,10,2,,,3,1,1,3,0,0,,
12/10/2025,Chad,Central Africa,2,3,2.33,3.1,3.75,2.23,2.95,3.36,12,12,4,7,,,10,6,4,7,0,0,,
12/10/2025,Croatia,Gibraltar,3,0,1.01,91,226,1,47.6,120.4,28,1,10,0,7,7,18,0,0,0,0,0,3.7,0.05
12/10/2025,Denmark,Greece,3,1,1.76,3.8,5.8,1.68,3.61,5.31,12,15,8,4,12,14,7,6,1,3,0,0,1.23,1.74
12/10/2025,Djibouti,Sierra Leone,1,2,17,6.5,1.23,14.03,5.83,1.2,,,,,,,,,,,,,,
12/10/2025,Egypt,Guinea Bissau,1,0,1.27,5.5,15,1.22,5.24,13.06,7,6,3,2,14,13,5,6,2,2,0,0,,
